surname,ids,gender,age_bin,geography,creditscore,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,churn_prediction,churn_score
Carpenter,22880-15769402,Male,18-25,France,656,18,7,156811.74,1,1.0,1.0,127014.32,0,0.04900978
Cattaneo,36665-15636755,Female,36-45,France,753,37,8,128389.98,1,1.0,1.0,60551.58,0,0.088099994
Udinese,4652-15705994,Male,26-35,Germany,694,34,1,95556.31,2,0.0,1.0,78622.46,0,0.035149995
Lo Duca,1341-15804072,Female,36-45,Germany,652,38,5,106376.85,1,1.0,1.0,179351.89,0,0.35625404
Onwumelu,129183-15793946,Male,18-25,France,705,23,10,0.0,2,0.0,1.0,56794.43,0,0.012354566
De Luca,32514-15600510,Female,36-45,France,696,40,2,0.0,2,1.0,0.0,38019.74,0,0.0684906
O'Loughlin,4655-15592645,Female,36-45,Germany,683,40,5,140197.18,1,0.0,0.0,111879.21,1,0.61394083
Greathouse,59293-15628155,Male,46-60,Germany,743,59,4,108585.35,1,1.0,1.0,133537.53,1,0.60078704
Ferri,79347-15670416,Female,36-45,Germany,792,41,9,116922.25,1,1.0,0.0,91775.51,1,0.6191784
Wardle,114952-15705676,Female,26-35,France,658,35,7,107944.33,1,0.0,0.0,48478.47,0,0.22680834
Hsu,28477-15664555,Male,26-35,France,638,26,5,75237.54,1,0.0,1.0,43889.41,0,0.04888237
Ibezimako,102102-15659931,Male,36-45,France,611,40,3,0.0,2,1.0,1.0,121175.86,0,0.016256234
Baryshnikov,38458-15693376,Male,36-45,France,741,43,1,0.0,2,0.0,1.0,146573.66,0,0.05700873
She,114225-15725997,Female,26-35,France,660,32,6,100768.77,1,1.0,0.0,19199.61,0,0.16370286
Shih,48404-15632882,Female,46-60,France,597,47,0,0.0,2,1.0,0.0,57320.92,0,0.30886254
Giles,46239-15588080,Male,46-60,France,679,54,2,0.0,2,1.0,0.0,110273.84,0,0.39134973
Fanucci,132613-15751175,Male,36-45,France,663,37,3,0.0,2,1.0,1.0,124592.84,0,0.011061738
Gadsden,79185-15711248,Male,36-45,Spain,645,41,8,116539.3,1,1.0,0.0,109291.22,0,0.21885712
Ritchie,97331-15756071,Male,26-35,Germany,584,31,3,137963.35,2,1.0,0.0,57862.83,0,0.086234555
Aksenov,154040-15775797,Male,36-45,France,814,37,7,0.0,2,1.0,1.0,199661.5,0,0.01308903
Nwachinemelu,132168-15597602,Male,46-60,Germany,565,57,8,137946.39,1,1.0,0.0,72467.99,1,0.87210643
Nkemakolam,36126-15793949,Male,46-60,Spain,730,46,8,0.0,2,1.0,0.0,51553.97,0,0.15357494
Maclean,79003-15606761,Female,26-35,France,697,33,4,96679.71,1,1.0,1.0,16081.71,0,0.087583676
Lucciano,17075-15796074,Male,46-60,France,678,55,7,0.0,2,1.0,0.0,93901.61,0,0.37217596
Chienezie,76838-15809909,Male,26-35,Germany,850,34,4,102570.21,1,1.0,0.0,142916.31,0,0.26488003
Nucci,30154-15585067,Female,36-45,Germany,498,39,4,91216.0,1,1.0,0.0,14081.64,1,0.5274529
Nwokike,87946-15763625,Female,46-60,France,558,46,3,0.0,1,1.0,0.0,93929.3,1,0.8710662
Capon,120273-15756871,Male,36-45,Spain,710,39,3,0.0,2,0.0,0.0,134878.19,0,0.038339287
Ch'iu,73514-15631681,Male,46-60,France,554,55,4,0.0,2,1.0,1.0,28226.15,0,0.07981421
Scott,112689-15651352,Male,36-45,France,653,37,9,0.0,2,1.0,1.0,157908.19,0,0.011902061
Chukwukadibia,15251-15635364,Male,36-45,France,811,41,0,0.0,2,0.0,0.0,83681.71,0,0.06535999
Ting,6366-15709913,Male,26-35,Spain,653,31,1,0.0,2,1.0,1.0,131768.96,0,0.008739186
Kao,106440-15593976,Female,26-35,Spain,629,32,1,0.0,2,1.0,1.0,142238.54,0,0.0160388
Manna,152102-15798895,Female,26-35,France,695,35,5,0.0,2,1.0,0.0,145580.43,0,0.03569698
Ingamells,28308-15778915,Female,36-45,France,737,36,8,0.0,2,0.0,1.0,191557.1,0,0.033593018
Ndukaku,13730-15740072,Female,36-45,Spain,679,42,3,0.0,1,1.0,0.0,173464.6,1,0.6973433
Ndubueze,148571-15796970,Male,60+,France,627,62,2,0.0,1,1.0,0.0,131300.24,1,0.84880376
P'eng,161887-15659411,Male,26-35,France,726,33,2,154962.65,1,1.0,0.0,86791.42,0,0.09484619
Genovese,77008-15750776,Female,36-45,Spain,627,36,0,164850.54,1,1.0,1.0,62722.44,0,0.1175427
Paterson,119126-15622033,Female,36-45,Germany,570,44,6,123356.63,1,1.0,1.0,62825.03,1,0.5585829
Onyemauchechukwu,34835-15611682,Male,36-45,France,727,37,5,150092.8,1,1.0,0.0,71830.1,0,0.113655634
Ozerova,61173-15774393,Female,46-60,Spain,731,46,4,82275.34,1,1.0,0.0,45937.77,1,0.58373517
Onyemaechi,151576-15711602,Female,26-35,France,591,35,3,140197.18,1,0.0,0.0,158918.03,0,0.25379536
Hs?,34937-15731744,Male,36-45,Germany,704,44,1,127237.51,2,0.0,1.0,167973.63,0,0.13242674
Cremonesi,89510-15776947,Male,36-45,France,603,36,9,0.0,2,1.0,0.0,180712.28,0,0.024021555
Cheng,81000-15793949,Male,36-45,Germany,720,43,9,129250.0,2,1.0,0.0,113428.77,0,0.23615915
Genovesi,12086-15690182,Female,26-35,France,614,33,3,85227.84,1,1.0,1.0,68087.15,0,0.057055954
Walker,106815-15649423,Male,46-60,France,681,51,4,0.0,2,1.0,1.0,123587.83,0,0.074925065
Azikiwe,26197-15711489,Female,26-35,Spain,760,32,2,0.0,1,1.0,0.0,114565.35,0,0.26528013
Nnachetam,115019-15585835,Female,46-60,Germany,516,46,3,153656.18,1,1.0,0.0,172752.02,1,0.81425095
Lu,48648-15794257,Male,36-45,Spain,695,38,2,0.0,2,1.0,0.0,35177.24,0,0.032750778
Cumbrae-Stewart,140424-15569682,Male,46-60,Spain,714,52,3,0.0,2,0.0,0.0,86956.29,0,0.32876998
Iweobiegbunam,121787-15746553,Female,26-35,France,529,32,4,0.0,2,0.0,0.0,141896.74,0,0.05894695
Genovesi,64358-15688851,Male,36-45,France,567,37,8,0.0,2,1.0,1.0,77846.84,0,0.011703744
P'eng,91216-15685920,Female,26-35,France,708,33,0,0.0,2,1.0,1.0,138526.96,0,0.018976932
Obialo,128320-15790599,Male,26-35,France,678,32,3,108891.3,1,1.0,0.0,141946.92,0,0.08906244
Trevisani,39820-15808846,Male,36-45,Spain,678,38,2,0.0,2,1.0,1.0,177670.57,0,0.012558958
Rechner,36401-15683118,Male,26-35,France,590,32,4,0.0,2,1.0,0.0,138889.15,0,0.01649304
Liao,15560-15596022,Male,26-35,France,709,33,2,0.0,1,1.0,0.0,132665.57,0,0.16565739
Rutherford,29373-15760450,Male,36-45,France,512,43,1,0.0,2,1.0,0.0,52471.36,0,0.12174716
Hall,162845-15701364,Male,46-60,France,654,50,9,0.0,1,1.0,1.0,38914.51,0,0.46696183
Fraser,57053-15691840,Female,36-45,Spain,505,43,5,0.0,2,1.0,1.0,125307.87,0,0.06280344
Mazzanti,79808-15789432,Male,36-45,France,451,45,2,0.0,2,1.0,1.0,184954.11,0,0.0665377
Palerma,68099-15658675,Female,26-35,France,850,34,6,140595.29,1,0.0,1.0,141806.86,0,0.072397776
Lettiere,119690-15588515,Female,26-35,France,586,32,2,0.0,2,1.0,0.0,94820.85,0,0.031641968
Chijindum,161121-15799031,Female,36-45,Germany,757,45,5,141559.5,1,1.0,0.0,140723.05,1,0.77627265
Y?an,149168-15628292,Male,26-35,Germany,605,32,9,144837.79,2,1.0,0.0,175071.29,0,0.06496078
Oluchi,162991-15709459,Female,60+,Spain,698,63,1,0.0,1,1.0,1.0,173576.71,0,0.4268748
Omeokachie,123758-15600812,Male,26-35,France,584,34,1,0.0,2,1.0,0.0,102725.15,0,0.015586003
Tang,102465-15588839,Male,26-35,France,665,32,6,0.0,2,1.0,1.0,195429.92,0,0.007947335
Calabrese,22672-15758513,Female,26-35,Germany,646,32,5,146766.72,2,1.0,0.0,136846.75,0,0.12086432
Clements,145945-15745354,Male,26-35,France,595,32,3,0.0,2,1.0,0.0,124872.61,0,0.01642341
Liao,36204-15667554,Male,36-45,France,686,43,4,133871.05,2,1.0,1.0,121505.91,0,0.06108245
Trevisani,135060-15725025,Female,36-45,Spain,589,37,9,0.0,2,1.0,0.0,66462.82,0,0.051667694
Chijindum,149340-15759066,Female,46-60,Spain,461,47,9,0.0,2,1.0,0.0,90881.85,0,0.29695684
Allen,156790-15589401,Female,36-45,France,550,40,2,0.0,3,1.0,0.0,89216.29,1,0.9041224
Ts'ao,130199-15647099,Female,36-45,France,759,37,7,156091.97,2,1.0,0.0,72008.61,0,0.09806127
Y?an,85720-15781234,Female,26-35,France,520,35,2,147900.43,1,0.0,0.0,140000.29,0,0.23673046
Hargreaves,109229-15639178,Male,36-45,France,676,38,9,0.0,2,1.0,0.0,154851.9,0,0.022956595
Gray,154579-15642885,Male,18-25,France,677,25,3,93017.47,1,1.0,0.0,191608.97,0,0.086271286
Fanucci,162209-15586880,Male,26-35,Spain,760,27,6,76665.71,2,1.0,1.0,16287.38,0,0.024792206
Hargreaves,17985-15570086,Male,36-45,France,615,39,9,0.0,2,1.0,1.0,53511.65,0,0.016324248
Onyemauchechukwu,157662-15575147,Male,36-45,Spain,644,39,2,0.0,2,1.0,1.0,12761.92,0,0.018144172
Dyer,77422-15749130,Female,18-25,France,710,25,9,0.0,2,1.0,0.0,92887.06,0,0.030640475
McGregor,60503-15692750,Male,36-45,France,661,45,8,0.0,1,1.0,0.0,173365.9,1,0.6780802
Goddard,61081-15683363,Female,46-60,Spain,532,49,3,0.0,1,1.0,0.0,142680.64,1,0.8855084
Enyinnaya,28327-15591248,Female,26-35,France,626,33,9,0.0,2,1.0,1.0,68777.26,0,0.014358758
O'Brien,79487-15690182,Female,46-60,France,681,54,7,0.0,1,1.0,1.0,179861.79,1,0.72838277
H?,140516-15765537,Female,26-35,Spain,634,26,2,0.0,2,1.0,1.0,166830.71,0,0.01640231
Rizzo,93147-15736088,Male,46-60,France,646,60,5,0.0,2,1.0,1.0,122268.45,0,0.06369611
Nnachetam,34008-15798053,Male,26-35,Spain,707,32,2,0.0,2,0.0,1.0,126475.79,0,0.011991951
Miller,1822-15789498,Female,26-35,France,561,30,4,141099.43,1,1.0,0.0,154843.4,0,0.16354789
Sergeyeva,116546-15617331,Male,26-35,France,641,35,3,0.0,2,1.0,1.0,88391.29,0,0.007994364
O'Sullivan,78090-15750811,Male,26-35,Spain,644,29,4,0.0,2,1.0,1.0,156660.97,0,0.009206181
Barnes,144391-15762228,Male,26-35,France,642,28,4,146498.76,1,1.0,0.0,184399.76,0,0.08889998
Chukwuraenye,91442-15720371,Male,36-45,Spain,774,41,2,0.0,2,1.0,1.0,147946.45,0,0.018547159
Tseng,31207-15634141,Male,46-60,France,716,47,3,91835.7,1,1.0,0.0,93336.96,0,0.41497827
Calabrese,48302-15750776,Male,26-35,France,567,34,8,0.0,2,1.0,0.0,53412.54,0,0.018045109
Ting,15141-15735388,Female,18-25,Spain,678,25,7,0.0,2,0.0,1.0,192841.13,0,0.019323852
T'ang,296-15688865,Female,46-60,Germany,762,49,2,120140.59,2,1.0,0.0,161882.81,1,0.6725591
Bracewell,36918-15593425,Female,26-35,Spain,662,32,1,187997.15,1,0.0,1.0,111442.71,0,0.099793464
Chinwendu,75460-15673837,Male,26-35,France,699,35,5,121658.13,1,1.0,1.0,155743.53,0,0.046173725
Brazenor,62427-15658716,Male,36-45,France,815,38,3,0.0,2,1.0,1.0,51703.08,0,0.015276379
Mills,52829-15645815,Male,36-45,France,850,45,4,0.0,2,0.0,0.0,164886.64,0,0.1264236
Ukaegbunam,64830-15669987,Female,26-35,France,792,29,9,0.0,1,0.0,1.0,96832.82,0,0.15876842
Ponomaryov,4830-15790689,Female,36-45,Germany,726,40,9,109844.81,1,1.0,0.0,180862.26,1,0.7070145
Macleod,90660-15693908,Female,46-60,Germany,592,48,8,125095.94,1,1.0,0.0,124777.14,1,0.8979102
Chukwufumnanya,97175-15567855,Female,26-35,France,623,29,7,0.0,2,1.0,0.0,39382.06,0,0.030485945
Iweobiegbunam,52251-15628298,Female,36-45,Spain,684,37,2,102955.14,2,1.0,0.0,154137.33,0,0.10356357
O'Loghlin,102773-15605339,Male,36-45,Spain,704,39,6,0.0,2,0.0,0.0,170968.99,0,0.036025334
Yefremov,37041-15800251,Male,18-25,France,588,23,8,0.0,3,1.0,0.0,89566.64,1,0.5985317
Trevisano,6072-15761706,Male,26-35,France,733,28,9,0.0,1,0.0,1.0,35230.61,0,0.08477707
Nwokike,98675-15775430,Female,26-35,Germany,447,28,8,105501.81,1,1.0,0.0,106887.01,0,0.38680047
Mills,114364-15761886,Male,36-45,France,668,38,4,0.0,1,0.0,1.0,57840.81,0,0.15609694
Blackwood,102395-15580629,Male,26-35,Germany,587,31,0,134837.58,1,1.0,1.0,192029.19,0,0.14622714
Uspensky,47184-15710390,Female,18-25,France,578,25,1,95502.21,1,1.0,1.0,15034.93,0,0.075620815
Hsieh,47660-15790067,Female,26-35,France,573,33,2,131647.01,1,1.0,0.0,162858.28,0,0.16994311
Cremonesi,24936-15782404,Female,36-45,France,849,41,2,0.0,2,1.0,1.0,52321.41,0,0.039972067
Nwankwo,78254-15702901,Female,26-35,Spain,641,29,8,0.0,1,1.0,0.0,158035.96,0,0.28797728
Chiagoziem,74092-15766458,Male,26-35,Germany,632,31,3,140933.46,2,0.0,0.0,110510.28,0,0.085015975
Ruse,156036-15585867,Female,36-45,France,550,40,8,77526.66,1,1.0,1.0,132567.72,0,0.14538325
Hao,13526-15612615,Male,36-45,Germany,766,41,9,151933.63,1,1.0,1.0,164040.94,0,0.18618673
Parkhill,99174-15775116,Male,46-60,Germany,635,48,3,113635.16,1,1.0,0.0,93336.3,1,0.8366696
Niu,66534-15683526,Female,46-60,Spain,616,59,4,123843.34,1,1.0,0.0,72350.78,1,0.76148576
Yen,155214-15727311,Female,18-25,France,539,22,0,100885.93,2,1.0,1.0,38772.82,0,0.07362308
Chukwukere,158252-15784092,Male,26-35,France,594,31,4,123656.32,1,1.0,1.0,54272.06,0,0.041069496
Manna,13757-15762729,Female,36-45,Spain,554,38,8,119278.01,2,0.0,1.0,19370.73,0,0.08686133
De Luca,16210-15616922,Male,26-35,Spain,730,26,6,0.0,1,1.0,1.0,61513.87,0,0.073602304
Uspenskaya,115222-15641640,Female,26-35,France,628,32,7,0.0,2,1.0,1.0,150452.88,0,0.014140896
Ford,154434-15742834,Male,36-45,France,745,45,8,0.0,1,1.0,1.0,117060.2,0,0.39703223
Piazza,112180-15775104,Male,26-35,France,703,35,0,118899.45,2,0.0,1.0,88895.43,0,0.050513316
Galkin,122181-15600739,Male,26-35,Spain,629,28,1,108601.0,3,1.0,0.0,119647.7,1,0.77857745
Houghton,163721-15677906,Male,26-35,Germany,724,34,9,117799.28,1,1.0,0.0,9984.4,0,0.3038417
Wright,56953-15809248,Female,46-60,Germany,548,52,10,108876.89,3,1.0,0.0,175071.29,1,0.97658634
Chiekwugo,45355-15763414,Female,26-35,Spain,681,35,7,0.0,2,1.0,0.0,28188.96,0,0.040332906
Kegley,81824-15801125,Male,26-35,France,627,32,1,0.0,2,1.0,0.0,106851.7,0,0.015926648
T'ien,61470-15782778,Female,26-35,France,710,34,2,0.0,1,1.0,1.0,77908.63,0,0.12596111
Chin,76789-15735339,Female,36-45,France,610,36,4,129440.3,1,1.0,0.0,102638.35,0,0.22192292
Udegbulam,133853-15665088,Male,26-35,Spain,588,33,3,0.0,1,1.0,1.0,161465.31,0,0.102186464
Gboliwe,58443-15713532,Male,36-45,Spain,786,41,9,0.0,2,1.0,0.0,148527.56,0,0.04928752
Yermakova,5177-15638463,Male,36-45,France,696,41,7,0.0,2,1.0,0.0,166953.9,0,0.034509547
Ibezimako,63019-15641004,Male,26-35,Spain,583,33,5,0.0,2,0.0,0.0,52482.89,0,0.03263297
Volkova,43635-15631054,Female,18-25,France,663,24,1,0.0,1,1.0,1.0,180969.55,0,0.25663704
Yermolayev,114061-15573798,Female,46-60,France,724,60,6,82373.94,2,0.0,1.0,80320.3,0,0.12660621
Chukwualuka,127576-15657105,Female,26-35,France,726,32,2,0.0,1,1.0,0.0,195192.4,0,0.281319
Y?,151152-15610643,Male,26-35,France,543,33,1,0.0,1,1.0,1.0,117832.53,0,0.09141564
Cremonesi,101844-15677052,Male,46-60,France,685,48,2,0.0,1,1.0,1.0,77510.45,0,0.43020338
Hsueh,93170-15681180,Female,46-60,France,684,54,2,0.0,1,1.0,1.0,125986.18,1,0.6886851
Manna,123105-15688868,Male,36-45,France,627,36,7,0.0,1,1.0,1.0,9984.4,0,0.10509778
Ebelechukwu,128184-15669060,Male,36-45,Germany,544,39,4,142406.43,2,1.0,0.0,146637.45,0,0.15152268
Pinto,46050-15679963,Female,26-35,France,624,32,5,0.0,2,1.0,1.0,100995.72,0,0.014572345
McMorran,46165-15608226,Male,36-45,Spain,590,36,5,0.0,2,1.0,0.0,81251.24,0,0.024359826
Collee,123330-15704581,Male,36-45,Spain,629,40,4,174588.8,1,1.0,1.0,158420.14,0,0.12489153
Hsing,46100-15780212,Male,36-45,Spain,697,36,8,0.0,2,1.0,1.0,15068.21,0,0.010946735
Uspenskaya,28133-15690772,Male,46-60,France,715,50,9,131355.55,1,1.0,1.0,106731.97,0,0.22194453
De Luca,108640-15777597,Female,36-45,France,562,39,2,0.0,2,1.0,1.0,135906.49,0,0.03034393
Obialo,59637-15677908,Male,36-45,France,624,40,7,0.0,2,1.0,1.0,155796.76,0,0.017127426
Hsing,143747-15607301,Male,36-45,Spain,689,38,10,0.0,2,0.0,0.0,88729.67,0,0.030027261
Chigolum,60179-15672970,Male,18-25,Spain,714,20,3,0.0,1,0.0,1.0,150465.93,0,0.121195614
Longo,118604-15714993,Female,46-60,France,683,47,9,39344.83,3,1.0,0.0,25136.95,1,0.93853575
Lo,144530-15634772,Male,36-45,France,615,42,2,0.0,1,1.0,1.0,122449.18,0,0.23358372
Iloerika,66894-15663478,Male,36-45,Germany,662,39,1,106871.13,1,1.0,1.0,142937.96,0,0.24863432
Biryukova,85670-15661219,Male,46-60,France,677,47,5,0.0,2,1.0,1.0,104951.47,0,0.04500525
Milanesi,142839-15698889,Male,60+,France,741,71,3,0.0,2,1.0,1.0,52861.97,0,0.035473514
Brookes,70726-15794472,Female,26-35,France,553,27,2,0.0,2,0.0,0.0,159800.16,0,0.05020446
Chukwujamuike,141052-15573876,Male,26-35,France,529,28,4,0.0,2,1.0,0.0,115186.97,0,0.023719262
Nnachetam,142456-15667932,Female,36-45,France,543,43,2,0.0,1,1.0,1.0,121532.9,1,0.5475589
Olisanugo,93127-15701364,Female,18-25,France,679,23,9,177624.14,1,1.0,0.0,166468.26,0,0.24560882
Ni,44406-15679693,Male,36-45,Germany,606,38,3,96842.84,1,1.0,0.0,125890.75,0,0.3232019
Kao,105439-15777783,Male,36-45,France,641,41,9,0.0,2,1.0,1.0,79919.85,0,0.015775304
Shih,112568-15644551,Male,46-60,France,678,48,8,0.0,2,1.0,1.0,120115.5,0,0.053694636
T'ao,147601-15692991,Male,36-45,France,596,43,5,0.0,2,1.0,1.0,130514.78,0,0.033513404
Ts'ai,112013-15684441,Male,46-60,Germany,698,56,1,123847.77,1,0.0,1.0,67538.15,1,0.614539
Lo Duca,160010-15587066,Female,46-60,Spain,804,46,4,0.0,1,0.0,1.0,88751.03,1,0.62550306
Chidi,9224-15662404,Female,26-35,France,807,34,3,144580.99,1,1.0,1.0,53716.97,0,0.075833365
White,59182-15759322,Female,26-35,Germany,678,34,1,124577.71,1,1.0,0.0,143317.28,0,0.39607006
Ku,131681-15784084,Male,26-35,France,638,26,4,0.0,1,1.0,0.0,149558.57,0,0.19237372
Nucci,97025-15709914,Female,36-45,Spain,728,43,5,0.0,2,0.0,0.0,79577.48,0,0.1555726
Chinweuba,56990-15786617,Male,36-45,France,704,39,7,133616.39,1,1.0,1.0,100601.73,0,0.050961014
Lombardi,77452-15780112,Male,26-35,Germany,757,31,9,108427.85,1,0.0,0.0,125962.83,0,0.25067714
Feng,29489-15767804,Male,36-45,France,729,39,6,0.0,2,1.0,1.0,151733.43,0,0.013710424
Lu,107407-15806945,Male,36-45,France,604,43,2,0.0,2,0.0,1.0,138340.75,0,0.0500896
Fanucci,112971-15809347,Male,26-35,Germany,763,32,9,160680.41,2,1.0,0.0,30886.35,0,0.07520165
Manna,153610-15808846,Female,26-35,France,667,33,1,0.0,1,1.0,1.0,57549.65,0,0.1719134
Onyemauchechukwu,29747-15813132,Male,26-35,Spain,751,35,7,0.0,2,0.0,0.0,71811.8,0,0.019507844
Ting,12090-15774857,Male,36-45,France,678,39,6,0.0,2,1.0,0.0,116971.05,0,0.024759624
Chibuzo,144045-15652782,Male,46-60,Germany,562,48,6,101099.9,1,1.0,1.0,193476.04,1,0.5264304
Okwudiliolisa,37033-15731330,Male,36-45,France,671,38,2,0.0,2,1.0,0.0,51358.66,0,0.028427899
Chizuoke,35482-15735270,Male,26-35,France,547,35,4,139825.38,1,1.0,0.0,134631.73,0,0.11986682
Biryukov,44507-15684921,Female,26-35,Germany,639,35,9,115062.74,2,0.0,0.0,84908.2,0,0.19497906
Foveaux,153748-15681476,Female,36-45,France,520,39,6,73493.17,1,0.0,1.0,109626.13,0,0.1308848
Calabresi,84694-15752300,Male,26-35,France,484,31,4,0.0,2,0.0,1.0,135655.29,0,0.015283796
Chiemenam,91312-15702601,Male,36-45,Germany,751,38,6,131659.59,2,1.0,1.0,155876.48,0,0.044260383
Estrada,109213-15586959,Male,36-45,Germany,590,42,8,140736.52,2,1.0,1.0,62951.11,0,0.061135497
Rose,161454-15586848,Male,46-60,France,706,47,1,0.0,2,0.0,0.0,122379.54,0,0.15496042
Ward,152180-15716284,Male,36-45,France,543,43,8,0.0,2,1.0,1.0,78858.07,0,0.03684311
Ts'ui,112437-15709653,Male,46-60,France,697,59,10,0.0,2,1.0,1.0,67788.49,0,0.04840869
Ma,148114-15782530,Male,26-35,Germany,681,35,0,139659.04,1,1.0,0.0,63737.19,0,0.37175784
Hsiao,74714-15644551,Male,36-45,Germany,735,36,8,113822.39,1,1.0,0.0,63931.83,0,0.37168172
Chukwufumnanya,159058-15611756,Male,36-45,Germany,739,37,2,114327.58,1,0.0,1.0,64849.74,0,0.22838603
Scott,52242-15701962,Male,26-35,Spain,554,29,2,166930.76,1,0.0,0.0,122487.73,0,0.16276683
Chigozie,42237-15747762,Male,46-60,Germany,762,60,5,113877.23,1,1.0,0.0,179834.45,1,0.8886801
Ts'ao,11702-15650258,Male,26-35,France,652,33,2,91622.42,1,1.0,0.0,26261.42,0,0.09843494
Lucchese,135470-15663830,Male,26-35,France,681,28,8,0.0,2,1.0,0.0,108732.73,0,0.013533498
Uvarova,120109-15667871,Male,36-45,France,627,36,8,0.0,2,1.0,0.0,131301.74,0,0.021090526
Chibuzo,79880-15687852,Female,46-60,Germany,659,51,2,83568.26,1,1.0,1.0,166576.36,1,0.72832054
Mazzanti,23666-15735400,Male,26-35,Spain,590,29,9,0.0,1,1.0,0.0,172576.62,0,0.19309787
Martin,111423-15667085,Female,46-60,Germany,627,46,1,151627.43,1,1.0,0.0,145537.56,1,0.85772073
Tuan,154572-15684010,Female,60+,Germany,710,74,8,116800.25,1,1.0,1.0,34130.43,0,0.26668808
Onyemachukwu,160545-15591091,Female,26-35,France,684,32,4,0.0,2,1.0,1.0,47832.42,0,0.013889893
Williamson,63572-15810864,Female,26-35,France,700,32,4,0.0,2,1.0,1.0,182055.36,0,0.013706717
Ma,42986-15654562,Male,36-45,France,526,45,6,95828.22,2,0.0,1.0,175657.55,0,0.12333948
Lo Duca,18051-15781334,Male,36-45,France,679,42,4,106570.38,1,1.0,0.0,161064.5,0,0.2998455
Teng,33467-15585599,Male,36-45,France,758,43,8,0.0,2,1.0,1.0,90876.95,0,0.034094773
Hudson,39210-15763148,Male,26-35,Germany,808,31,9,124577.15,1,1.0,1.0,164081.42,0,0.10080191
Ch'ien,152189-15727299,Male,46-60,Germany,614,54,3,139561.74,2,1.0,1.0,98820.09,0,0.20368999
Brown,156100-15768219,Female,36-45,France,699,37,5,0.0,2,0.0,1.0,113481.02,0,0.025027454
Ch'ien,19714-15579515,Male,26-35,Germany,644,35,1,121703.28,2,1.0,1.0,147964.39,0,0.037773795
White,7369-15569120,Male,36-45,France,662,45,7,0.0,2,1.0,0.0,27886.0,0,0.08145455
Olisaemeka,37608-15727384,Male,36-45,France,850,39,5,175111.11,1,1.0,0.0,74858.3,0,0.19606404
Genovese,134448-15692453,Female,36-45,France,529,44,2,0.0,2,0.0,0.0,180142.42,0,0.23873876
Hsia,45480-15626141,Female,46-60,France,516,47,1,0.0,1,0.0,0.0,88730.84,1,0.8282873
Savage,138859-15642655,Male,26-35,Spain,675,31,1,0.0,1,1.0,0.0,130726.96,0,0.16038133
Pan,29358-15610801,Male,46-60,Germany,714,54,3,123049.21,1,1.0,1.0,96687.25,1,0.57232714
Fanucci,33339-15674822,Male,46-60,Germany,757,51,2,129864.54,1,1.0,0.0,162557.17,1,0.90333253
Nwebube,9979-15581550,Female,26-35,Germany,644,34,4,128647.71,1,1.0,0.0,124749.71,0,0.3983102
Milanesi,31392-15704581,Female,36-45,Spain,702,42,1,0.0,2,1.0,0.0,141558.04,0,0.10081193
Manna,41886-15583462,Female,26-35,France,635,34,1,0.0,2,1.0,1.0,468.57,0,0.014656222
Ni,97359-15616666,Female,46-60,France,645,46,2,0.0,1,1.0,0.0,92727.49,1,0.8540673
Palerma,171-15682489,Male,26-35,France,667,32,9,120108.76,1,1.0,0.0,131803.09,0,0.07617065
Iloerika,140805-15656912,Male,46-60,Spain,573,52,4,0.0,1,1.0,0.0,5669.31,1,0.87063336
K?,67145-15698321,Male,26-35,France,724,34,3,0.0,2,1.0,1.0,67830.2,0,0.007139956
Ives,21147-15671655,Female,60+,France,734,61,1,118962.58,1,1.0,1.0,13848.58,0,0.29274
H?,54872-15728006,Male,36-45,Spain,701,44,2,146587.3,1,1.0,1.0,152273.58,0,0.10910596
Lo,145720-15799790,Male,26-35,Spain,722,35,3,0.0,2,0.0,1.0,74846.67,0,0.012314478
Ch'iu,82045-15745355,Male,26-35,France,605,34,0,117899.55,2,1.0,1.0,109742.55,0,0.02718666
O'Neill,55706-15674932,Male,36-45,France,704,37,9,73218.89,1,0.0,1.0,181449.51,0,0.064919956
Nkemakonam,98364-15664555,Male,36-45,France,559,37,6,0.0,2,1.0,0.0,181605.85,0,0.026176706
Yeh,101570-15803415,Male,26-35,France,755,34,9,0.0,2,0.0,1.0,59559.81,0,0.010654687
Hsing,116824-15735968,Male,36-45,France,605,41,10,0.0,2,1.0,0.0,97213.09,0,0.03794906
Pinto,299-15764170,Male,36-45,Spain,647,44,6,93960.35,1,1.0,0.0,36579.53,0,0.30379936
H?,161485-15786959,Male,36-45,France,727,36,7,0.0,2,0.0,0.0,103557.94,0,0.026282232
Nwachukwu,38078-15702434,Male,26-35,France,751,35,9,0.0,2,1.0,1.0,171768.77,0,0.009442451
Yobanna,54714-15686870,Female,36-45,France,580,40,3,0.0,2,1.0,0.0,151359.57,0,0.10213875
Chukwukere,146920-15589296,Female,36-45,France,682,36,9,0.0,2,1.0,1.0,45414.09,0,0.017036954
Onyemauchechi,162986-15756670,Female,36-45,Spain,572,36,7,0.0,2,1.0,0.0,152883.53,0,0.049988873
Hsiao,122631-15773896,Male,46-60,Spain,633,58,2,0.0,1,1.0,1.0,170819.43,0,0.4696642
He,9429-15753591,Female,36-45,France,477,38,2,0.0,1,1.0,1.0,136859.55,0,0.2571023
